"potential real part"	"result"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.033312	22.335	1	0	0.05	0.0335	0.01101
0.033346	0.00047087	1	3.2999e-05	0.05	0.033533	0.01101
0.033346	0.0004578	1	6.5997e-05	0.05	0.033566	0.01101
0.033346	0.00044607	1	9.9e-05	0.05	0.033599	0.01101
0.033346	0.00043375	1	0.000132	0.05	0.033632	0.01101
0.033346	0.00042155	1	0.000165	0.05	0.033665	0.01101
0.033346	0.00040948	1	0.000198	0.05	0.033698	0.01101
0.033346	0.00039753	1	0.00023099	0.05	0.033731	0.01101
0.033346	0.0003857	1	0.000264	0.05	0.033764	0.01101
0.033346	0.00037399	1	0.000297	0.05	0.033797	0.01101
0.033346	0.00036241	1	0.00032999	0.05	0.03383	0.01101
0.033346	0.00035095	1	0.00036299	0.05	0.033863	0.01101
0.033346	0.00033961	1	0.00039599	0.05	0.033896	0.01101
0.033346	0.00032839	1	0.00042899	0.05	0.033929	0.01101
0.033346	0.0003173	1	0.00046199	0.05	0.033962	0.01101
0.033346	0.00030633	1	0.00049499	0.05	0.033995	0.01101
0.033346	0.00029548	1	0.00052799	0.05	0.034028	0.01101
0.033346	0.00028475	1	0.00056099	0.05	0.034061	0.01101
0.033346	0.00027415	1	0.00059399	0.05	0.034094	0.01101
0.033346	0.00026367	1	0.00062699	0.05	0.034127	0.01101
0.033346	0.00025331	1	0.00065999	0.05	0.03416	0.01101
0.033346	0.00024308	1	0.00069299	0.05	0.034193	0.01101
0.033346	0.00023296	1	0.00072599	0.05	0.034226	0.01101
0.033346	0.00022297	1	0.00075899	0.05	0.034259	0.01101
0.033346	0.0002131	1	0.00079199	0.05	0.034292	0.01101
0.033346	0.00020336	1	0.00082498	0.05	0.034325	0.01101
0.033346	0.00019374	1	0.00085799	0.05	0.034358	0.01101
0.033346	0.00018424	1	0.00089099	0.05	0.034391	0.01101
0.033346	0.00017486	1	0.00092398	0.05	0.034424	0.01101
0.033346	0.00016561	1	0.00095698	0.05	0.034457	0.01101
0.033346	0.00015647	1	0.00098998	0.05	0.03449	0.01101
0.033346	0.0002081	1	0.001023	0.05	0.034523	0.01101
0.033346	0.00020709	1	0.001056	0.05	0.034556	0.01101
0.033346	0.00020609	1	0.001089	0.05	0.034589	0.01101
0.033346	0.00020511	1	0.001122	0.05	0.034622	0.01101
0.033346	0.00020414	1	0.001155	0.05	0.034655	0.01101
0.033346	0.00020317	1	0.001188	0.05	0.034688	0.01101
0.033346	0.00020222	1	0.001221	0.05	0.034721	0.01101
0.033346	0.00020129	1	0.001254	0.05	0.034754	0.01101
0.033346	0.00020036	1	0.001287	0.05	0.034787	0.01101
0.033346	0.00019945	1	0.00132	0.05	0.03482	0.01101
0.033346	0.00019855	1	0.001353	0.05	0.034853	0.01101
0.033346	0.00019766	1	0.001386	0.05	0.034886	0.01101
0.033346	0.00019678	1	0.001419	0.05	0.034919	0.01101
0.033346	0.00019591	1	0.001452	0.05	0.034952	0.01101
0.033346	0.00019506	1	0.001485	0.05	0.034985	0.01101
0.033346	0.00019422	1	0.001518	0.05	0.035018	0.01101
0.033346	0.00019339	1	0.001551	0.05	0.035051	0.01101
0.033346	0.00019257	1	0.001584	0.05	0.035084	0.01101
0.033346	0.00019176	1	0.001617	0.05	0.035117	0.01101
0.033346	0.00019097	1	0.00165	0.05	0.03515	0.01101
0.033346	0.00019018	1	0.001683	0.05	0.035183	0.01101
0.033346	0.00018941	1	0.001716	0.05	0.035216	0.01101
0.033346	0.00018865	1	0.001749	0.05	0.035249	0.01101
0.033346	0.00018791	1	0.001782	0.05	0.035282	0.01101
0.033346	0.00018717	1	0.001815	0.05	0.035315	0.01101
0.033346	0.00018673	1	0.001848	0.05	0.035348	0.01101
0.033346	0.00018602	1	0.001881	0.05	0.035381	0.01101
0.033346	0.00018531	1	0.001914	0.05	0.035414	0.01101
0.033346	0.00018462	1	0.001947	0.05	0.035447	0.01101
0.033346	0.00018393	1	0.00198	0.05	0.03548	0.01101
