"potential real part"	"result"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.0073722	4.5424	1	0	0.05	0.0335	0.01101
0.0073791	0.11949	1	3.2999e-05	0.05	0.033533	0.01101
0.0073792	0.11596	1	6.5997e-05	0.05	0.033566	0.01101
0.0073793	0.11272	1	9.9e-05	0.05	0.033599	0.01101
0.0073794	0.10943	1	0.000132	0.05	0.033632	0.01101
0.0073794	0.1062	1	0.000165	0.05	0.033665	0.01101
0.0073795	0.10301	1	0.000198	0.05	0.033698	0.01101
0.0073796	0.099869	1	0.00023099	0.05	0.033731	0.01101
0.0073796	0.096778	1	0.000264	0.05	0.033764	0.01101
0.0073797	0.093736	1	0.000297	0.05	0.033797	0.01101
0.0073797	0.090743	1	0.00032999	0.05	0.03383	0.01101
0.0073798	0.087799	1	0.00036299	0.05	0.033863	0.01101
0.0073798	0.084904	1	0.00039599	0.05	0.033896	0.01101
0.0073799	0.082058	1	0.00042899	0.05	0.033929	0.01101
0.0073799	0.079261	1	0.00046199	0.05	0.033962	0.01101
0.00738	0.076512	1	0.00049499	0.05	0.033995	0.01101
0.00738	0.073813	1	0.00052799	0.05	0.034028	0.01101
0.00738	0.071162	1	0.00056099	0.05	0.034061	0.01101
0.0073801	0.06856	1	0.00059399	0.05	0.034094	0.01101
0.0073801	0.066007	1	0.00062699	0.05	0.034127	0.01101
0.0073801	0.063503	1	0.00065999	0.05	0.03416	0.01101
0.0073802	0.061048	1	0.00069299	0.05	0.034193	0.01101
0.0073802	0.058642	1	0.00072599	0.05	0.034226	0.01101
0.0073802	0.056285	1	0.00075899	0.05	0.034259	0.01101
0.0073802	0.053976	1	0.00079199	0.05	0.034292	0.01101
0.0073802	0.051717	1	0.00082498	0.05	0.034325	0.01101
0.0073802	0.049506	1	0.00085799	0.05	0.034358	0.01101
0.0073802	0.047345	1	0.00089099	0.05	0.034391	0.01101
0.0073802	0.045232	1	0.00092398	0.05	0.034424	0.01101
0.0073802	0.043168	1	0.00095698	0.05	0.034457	0.01101
0.0073802	0.041153	1	0.00098998	0.05	0.03449	0.01101
0.0073802	0.052886	1	0.001023	0.05	0.034523	0.01101
0.0073803	0.052646	1	0.001056	0.05	0.034556	0.01101
0.0073803	0.052413	1	0.001089	0.05	0.034589	0.01101
0.0073803	0.052187	1	0.001122	0.05	0.034622	0.01101
0.0073803	0.051969	1	0.001155	0.05	0.034655	0.01101
0.0073803	0.051757	1	0.001188	0.05	0.034688	0.01101
0.0073803	0.051551	1	0.001221	0.05	0.034721	0.01101
0.0073803	0.051353	1	0.001254	0.05	0.034754	0.01101
0.0073803	0.051162	1	0.001287	0.05	0.034787	0.01101
0.0073803	0.050978	1	0.00132	0.05	0.03482	0.01101
0.0073803	0.0508	1	0.001353	0.05	0.034853	0.01101
0.0073803	0.05063	1	0.001386	0.05	0.034886	0.01101
0.0073803	0.050467	1	0.001419	0.05	0.034919	0.01101
0.0073803	0.05031	1	0.001452	0.05	0.034952	0.01101
0.0073803	0.05016	1	0.001485	0.05	0.034985	0.01101
0.0073803	0.050018	1	0.001518	0.05	0.035018	0.01101
0.0073803	0.049882	1	0.001551	0.05	0.035051	0.01101
0.0073803	0.049753	1	0.001584	0.05	0.035084	0.01101
0.0073803	0.049631	1	0.001617	0.05	0.035117	0.01101
0.0073803	0.049516	1	0.00165	0.05	0.03515	0.01101
0.0073803	0.049408	1	0.001683	0.05	0.035183	0.01101
0.0073803	0.049307	1	0.001716	0.05	0.035216	0.01101
0.0073803	0.049213	1	0.001749	0.05	0.035249	0.01101
0.0073803	0.049125	1	0.001782	0.05	0.035282	0.01101
0.0073803	0.049045	1	0.001815	0.05	0.035315	0.01101
0.0073803	0.049013	1	0.001848	0.05	0.035348	0.01101
0.0073803	0.048939	1	0.001881	0.05	0.035381	0.01101
0.0073803	0.048871	1	0.001914	0.05	0.035414	0.01101
0.0073803	0.04881	1	0.001947	0.05	0.035447	0.01101
0.0073803	0.048755	1	0.00198	0.05	0.03548	0.01101
0.0073803	0.048707	1	0.002013	0.05	0.035513	0.01101
0.0073803	0.050327	1	0.002046	0.05	0.035546	0.01101
0.0073803	0.050321	1	0.002079	0.05	0.035579	0.01101
0.0073803	0.050316	1	0.002112	0.05	0.035612	0.01101
0.0073802	0.050314	1	0.002145	0.05	0.035645	0.01101
0.0073802	0.050314	1	0.002178	0.05	0.035678	0.01101
0.0073802	0.050316	1	0.002211	0.05	0.035711	0.01101
0.0073802	0.05032	1	0.002244	0.05	0.035744	0.01101
0.0073802	0.050326	1	0.002277	0.05	0.035777	0.01101
0.0073802	0.050334	1	0.00231	0.05	0.03581	0.01101
0.0073802	0.050344	1	0.002343	0.05	0.035843	0.01101
0.0073802	0.050399	1	0.002376	0.05	0.035876	0.01101
0.0073802	0.050535	1	0.002409	0.05	0.035909	0.01101
0.0073802	0.050555	1	0.002442	0.05	0.035942	0.01101
0.0073802	0.050577	1	0.002475	0.05	0.035975	0.01101
0.0073802	0.050601	1	0.002508	0.05	0.036008	0.01101
0.0073801	0.050627	1	0.002541	0.05	0.036041	0.01101
0.0073801	0.050655	1	0.002574	0.05	0.036074	0.01101
0.0073801	0.050685	1	0.002607	0.05	0.036107	0.01101
0.0073801	0.050717	1	0.00264	0.05	0.03614	0.01101
0.0073801	0.050752	1	0.002673	0.05	0.036173	0.01101
0.0073801	0.050788	1	0.002706	0.05	0.036206	0.01101
0.0073801	0.050827	1	0.002739	0.05	0.036239	0.01101
0.0073801	0.050867	1	0.002772	0.05	0.036272	0.01101
0.00738	0.05091	1	0.0028049	0.05	0.036305	0.01101
0.00738	0.050955	1	0.0028379	0.05	0.036338	0.01101
0.00738	0.051002	1	0.002871	0.05	0.036371	0.01101
0.00738	0.051051	1	0.0029039	0.05	0.036404	0.01101
0.00738	0.051102	1	0.0029369	0.05	0.036437	0.01101
0.00738	0.051155	1	0.0029699	0.05	0.03647	0.01101
0.00738	0.051211	1	0.0030029	0.05	0.036503	0.01101
0.0073799	0.051268	1	0.0030359	0.05	0.036536	0.01101
0.0073799	0.052314	1	0.0030689	0.05	0.036569	0.01101
0.0073799	0.052347	1	0.0031019	0.05	0.036602	0.01101
0.0073799	0.052381	1	0.0031349	0.05	0.036635	0.01101
0.0073799	0.052415	1	0.0031679	0.05	0.036668	0.01101
0.0073799	0.05245	1	0.0032009	0.05	0.036701	0.01101
0.0073798	0.052486	1	0.0032339	0.05	0.036734	0.01101
0.0073798	0.052522	1	0.0032669	0.05	0.036767	0.01101
0.0073798	0.05256	1	0.0032999	0.05	0.0368	0.01101
0.0073798	0.052598	1	0.0033329	0.05	0.036833	0.01101
0.0073798	0.052637	1	0.0033659	0.05	0.036866	0.01101
0.0073798	0.052676	1	0.0033989	0.05	0.036899	0.01101
0.0073797	0.052845	1	0.0034319	0.05	0.036932	0.01101
0.0073797	0.053118	1	0.0034649	0.05	0.036965	0.01101
0.0073797	0.053163	1	0.0034979	0.05	0.036998	0.01101
0.0073797	0.05321	1	0.0035309	0.05	0.037031	0.01101
0.0073797	0.053257	1	0.0035639	0.05	0.037064	0.01101
0.0073796	0.053305	1	0.0035969	0.05	0.037097	0.01101
0.0073796	0.053353	1	0.0036299	0.05	0.03713	0.01101
0.0073796	0.053403	1	0.0036629	0.05	0.037163	0.01101
0.0073796	0.053452	1	0.0036959	0.05	0.037196	0.01101
0.0073796	0.053503	1	0.0037289	0.05	0.037229	0.01101
0.0073795	0.053554	1	0.0037619	0.05	0.037262	0.01101
0.0073795	0.053606	1	0.0037949	0.05	0.037295	0.01101
0.0073795	0.053658	1	0.0038279	0.05	0.037328	0.01101
0.0073795	0.053711	1	0.0038609	0.05	0.037361	0.01101
0.0073794	0.053765	1	0.0038939	0.05	0.037394	0.01101
0.0073794	0.05382	1	0.0039269	0.05	0.037427	0.01101
0.0073794	0.053875	1	0.0039599	0.05	0.03746	0.01101
0.0073794	0.053931	1	0.0039929	0.05	0.037493	0.01101
0.0073794	0.053987	1	0.0040259	0.05	0.037526	0.01101
0.0073793	0.054044	1	0.0040589	0.05	0.037559	0.01101
0.0073793	0.054068	1	0.0040919	0.05	0.037592	0.01101
0.0073793	0.054095	1	0.0041249	0.05	0.037625	0.01101
0.0073793	0.054123	1	0.0041579	0.05	0.037658	0.01101
0.0073792	0.054151	1	0.0041909	0.05	0.037691	0.01101
0.0073792	0.054179	1	0.0042239	0.05	0.037724	0.01101
0.0073792	0.054207	1	0.0042569	0.05	0.037757	0.01101
0.0073792	0.054236	1	0.0042899	0.05	0.03779	0.01101
0.0073791	0.054265	1	0.0043229	0.05	0.037823	0.01101
0.0073791	0.054294	1	0.0043559	0.05	0.037856	0.01101
0.0073791	0.054323	1	0.0043889	0.05	0.037889	0.01101
0.0073791	0.054352	1	0.0044219	0.05	0.037922	0.01101
0.007379	0.054382	1	0.0044549	0.05	0.037955	0.01101
0.007379	0.054411	1	0.0044879	0.05	0.037988	0.01101
0.007379	0.054441	1	0.0045209	0.05	0.038021	0.01101
0.007379	0.054471	1	0.0045539	0.05	0.038054	0.01101
0.0073789	0.054502	1	0.0045869	0.05	0.038087	0.01101
0.0073789	0.054532	1	0.0046199	0.05	0.03812	0.01101
0.0073789	0.054563	1	0.0046529	0.05	0.038153	0.01101
0.0073789	0.054594	1	0.0046859	0.05	0.038186	0.01101
0.0073788	0.054625	1	0.0047189	0.05	0.038219	0.01101
0.0073788	0.054656	1	0.0047519	0.05	0.038252	0.01101
0.0073788	0.054687	1	0.0047849	0.05	0.038285	0.01101
0.0073788	0.054719	1	0.0048179	0.05	0.038318	0.01101
0.0073787	0.054751	1	0.0048509	0.05	0.038351	0.01101
0.0073787	0.054783	1	0.0048839	0.05	0.038384	0.01101
0.0073787	0.054815	1	0.0049169	0.05	0.038417	0.01101
0.0073786	0.054848	1	0.0049499	0.05	0.03845	0.01101
0.0073786	0.054944	1	0.0049829	0.05	0.038483	0.01101
0.0073786	0.055032	1	0.0050159	0.05	0.038516	0.01101
0.0073786	0.055061	1	0.0050489	0.05	0.038549	0.01101
0.0073785	0.055091	1	0.0050819	0.05	0.038582	0.01101
0.0073785	0.055212	1	0.0051149	0.05	0.038615	0.01101
0.0073785	0.055744	1	0.0051479	0.05	0.038648	0.01101
0.0073784	0.055744	1	0.0051809	0.05	0.038681	0.01101
0.0073784	0.055791	1	0.0052139	0.05	0.038714	0.01101
0.0073784	0.055798	1	0.0052469	0.05	0.038747	0.01101
0.0073784	0.055805	1	0.0052799	0.05	0.03878	0.01101
0.0073783	0.055812	1	0.0053129	0.05	0.038813	0.01101
0.0073783	0.055819	1	0.0053459	0.05	0.038846	0.01101
0.0073783	0.055826	1	0.0053789	0.05	0.038879	0.01101
0.0073782	0.055833	1	0.0054119	0.05	0.038912	0.01101
0.0073782	0.05584	1	0.0054449	0.05	0.038945	0.01101
0.0073782	0.055847	1	0.0054779	0.05	0.038978	0.01101
0.0073782	0.055854	1	0.0055109	0.05	0.039011	0.01101
0.0073781	0.055861	1	0.0055439	0.05	0.039044	0.01101
0.0073781	0.055868	1	0.0055769	0.05	0.039077	0.01101
0.0073781	0.055875	1	0.0056099	0.05	0.03911	0.01101
0.007378	0.055882	1	0.0056429	0.05	0.039143	0.01101
0.007378	0.055889	1	0.0056759	0.05	0.039176	0.01101
0.007378	0.055896	1	0.0057089	0.05	0.039209	0.01101
0.0073779	0.055903	1	0.0057419	0.05	0.039242	0.01101
0.0073779	0.055911	1	0.0057749	0.05	0.039275	0.01101
0.0073779	0.055918	1	0.0058079	0.05	0.039308	0.01101
0.0073779	0.055925	1	0.0058409	0.05	0.039341	0.01101
0.0073778	0.055932	1	0.0058739	0.05	0.039374	0.01101
0.0073778	0.05594	1	0.0059069	0.05	0.039407	0.01101
0.0073778	0.055947	1	0.0059399	0.05	0.03944	0.01101
0.0073777	0.055954	1	0.0059729	0.05	0.039473	0.01101
0.0073777	0.055962	1	0.0060059	0.05	0.039506	0.01101
0.0073777	0.055969	1	0.0060389	0.05	0.039539	0.01101
0.0073776	0.055976	1	0.0060719	0.05	0.039572	0.01101
0.0073776	0.055984	1	0.0061049	0.05	0.039605	0.01101
0.0073776	0.056006	1	0.0061379	0.05	0.039638	0.01101
0.0073775	0.055993	1	0.0061709	0.05	0.039671	0.01101
0.0073775	0.05598	1	0.0062039	0.05	0.039704	0.01101
0.0073775	0.055966	1	0.0062369	0.05	0.039737	0.01101
0.0073774	0.055953	1	0.0062699	0.05	0.03977	0.01101
0.0073774	0.05594	1	0.0063029	0.05	0.039803	0.01101
0.0073774	0.055927	1	0.0063359	0.05	0.039836	0.01101
0.0073774	0.055914	1	0.0063689	0.05	0.039869	0.01101
0.0073773	0.055901	1	0.0064019	0.05	0.039902	0.01101
0.0073773	0.055888	1	0.0064349	0.05	0.039935	0.01101
