"f_101:0"	"f_101:1"	"f_101:2"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.0067493	32.874	-0.011658	1	0	9.5181e-07	5.9828e-06	0
0.0028702	32.817	0.030013	1	0.0005456	9.5181e-07	5.9828e-06	0.0005456
-0.0064539	32.76	0.034366	1	0.0010912	9.5181e-07	5.9828e-06	0.0010912
-0.013082	32.57	-0.054212	1	0.0016368	9.5181e-07	5.9828e-06	0.0016368
-0.0076559	32.316	-0.051239	1	0.0021824	9.5181e-07	5.9828e-06	0.0021824
0.00012727	32.03	-0.0030524	1	0.002728	9.5181e-07	5.9828e-06	0.002728
-0.0028232	31.638	-0.0092059	1	0.0032736	9.5181e-07	5.9828e-06	0.0032736
-0.0035284	31.244	-0.0069511	1	0.0038192	9.5181e-07	5.9828e-06	0.0038192
-0.0023616	30.814	-0.0064292	1	0.0043648	9.5181e-07	5.9828e-06	0.0043648
-0.0014295	30.383	-0.0061741	1	0.0049104	9.5181e-07	5.9828e-06	0.0049104
-0.0017296	29.907	-0.005032	1	0.005456	9.5181e-07	5.9828e-06	0.005456
-0.0062166	29.441	-0.0037425	1	0.0060016	9.5181e-07	5.9828e-06	0.0060016
-0.00088495	28.986	-0.0044792	1	0.0065472	9.5181e-07	5.9828e-06	0.0065472
0.0015679	28.536	-0.01066	1	0.0070928	9.5181e-07	5.9828e-06	0.0070928
-0.0026346	28.086	-0.0031965	1	0.0076384	9.5181e-07	5.9828e-06	0.0076384
-0.0051085	27.662	-0.0029609	1	0.008184	9.5181e-07	5.9828e-06	0.008184
-0.0067098	27.268	-0.0023357	1	0.0087296	9.5181e-07	5.9828e-06	0.0087296
-0.0064558	26.936	0.009218	1	0.0092752	9.5181e-07	5.9828e-06	0.0092752
-0.0016056	26.603	-0.0018756	1	0.0098208	9.5181e-07	5.9828e-06	0.0098208
-0.001635	26.344	-0.005492	1	0.010366	9.5181e-07	5.9828e-06	0.010366
-0.005187	26.071	0.010265	1	0.010912	9.5181e-07	5.9828e-06	0.010912
-0.0035871	25.857	-0.023019	1	0.011458	9.5181e-07	5.9828e-06	0.011458
-0.0018272	25.64	-0.087747	1	0.012003	9.5181e-07	5.9828e-06	0.012003
-0.0039466	25.581	-0.077043	1	0.012549	9.5181e-07	5.9828e-06	0.012549
-0.0068863	25.556	-0.050388	1	0.013094	9.5181e-07	5.9828e-06	0.013094
-0.0047272	25.477	-0.022677	1	0.01364	9.5181e-07	5.9828e-06	0.01364
