"f_60:0"	"f_60:1"	"f_60:2"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.0013359	179.17	0.68306	1	0	0.0075	-0.011	0.001
2.3956	97.348	18.134	1	0.00055	0.0075	-0.01045	0.001
3.8086	75.372	17.028	1	0.0011	0.0075	-0.0099	0.001
4.7255	64.038	13.753	1	0.00165	0.0075	-0.00935	0.001
5.2612	56.452	10.597	1	0.0022	0.0075	-0.0088	0.001
5.4673	50.711	8.1774	1	0.00275	0.0075	-0.00825	0.001
5.4852	46.167	6.3965	1	0.0033	0.0075	-0.0077	0.001
5.3176	42.533	5.0415	1	0.00385	0.0075	-0.00715	0.001
5.0577	39.627	3.933	1	0.0044	0.0075	-0.0066	0.001
4.7499	37.306	3.1208	1	0.00495	0.0075	-0.00605	0.001
4.3828	35.39	2.522	1	0.0055	0.0075	-0.0055	0.001
3.9626	33.758	2.0344	1	0.00605	0.0075	-0.00495	0.001
3.5371	32.499	1.6539	1	0.0066	0.0075	-0.0044	0.001
3.108	31.494	1.2946	1	0.00715	0.0075	-0.00385	0.001
2.6649	30.669	1.0784	1	0.0077	0.0075	-0.0033	0.001
2.2339	29.938	0.80338	1	0.00825	0.0075	-0.00275	0.001
1.8003	29.485	0.61123	1	0.0088	0.0075	-0.0022	0.001
1.3437	29.012	0.47194	1	0.00935	0.0075	-0.00165	0.001
0.87782	28.791	0.29362	1	0.0099	0.0075	-0.0011	0.001
0.44899	28.61	0.13737	1	0.01045	0.0075	-0.00055	0.001
-0.0067369	28.592	-0.010266	1	0.011	0.0075	0	0.001
-0.44286	28.616	-0.12861	1	0.01155	0.0075	0.00055	0.001
-0.88761	28.838	-0.30995	1	0.0121	0.0075	0.0011	0.001
-1.3435	29.08	-0.48618	1	0.01265	0.0075	0.00165	0.001
-1.771	29.464	-0.63323	1	0.0132	0.0075	0.0022	0.001
-2.2187	30.028	-0.8564	1	0.01375	0.0075	0.00275	0.001
-2.6672	30.617	-1.0445	1	0.0143	0.0075	0.0033	0.001
-3.1155	31.394	-1.3204	1	0.01485	0.0075	0.00385	0.001
-3.5502	32.485	-1.6287	1	0.0154	0.0075	0.0044	0.001
-3.9576	33.792	-1.9927	1	0.01595	0.0075	0.00495	0.001
-4.3717	35.394	-2.5329	1	0.0165	0.0075	0.0055	0.001
-4.7201	37.317	-3.0806	1	0.01705	0.0075	0.00605	0.001
-5.0534	39.698	-4.0386	1	0.0176	0.0075	0.0066	0.001
-5.3105	42.552	-4.8915	1	0.01815	0.0075	0.00715	0.001
-5.4726	46.171	-6.3488	1	0.0187	0.0075	0.0077	0.001
-5.4765	50.686	-8.1626	1	0.01925	0.0075	0.00825	0.001
-5.2464	56.462	-10.608	1	0.0198	0.0075	0.0088	0.001
-4.7266	64.137	-13.728	1	0.02035	0.0075	0.00935	0.001
-3.801	75.359	-17.045	1	0.0209	0.0075	0.0099	0.001
-2.3772	97.109	-18.441	1	0.02145	0.0075	0.01045	0.001
0.1436	177.34	-1.1076	1	0.022	0.0075	0.011	0.001
