# position, field
9.999999999999991535e-04,1.392665924963511941e+02
1.408163265306121292e-03,1.008598104057471545e+02
1.816326530612243431e-03,7.977597232772316715e+01
2.224489795918365570e-03,6.648262050405242007e+01
2.632653061224489444e-03,5.735912025108859069e+01
3.040816326530611582e-03,5.072901409654978266e+01
3.448979591836733721e-03,4.570964165223841746e+01
3.857142857142855860e-03,4.179216205271078621e+01
4.265306122448978866e-03,3.866271444523771095e+01
4.673469387755101873e-03,3.611729628105254619e+01
5.081632653061224011e-03,3.401766709907672492e+01
5.489795918367346150e-03,3.226692672241427573e+01
5.897959183673468289e-03,3.079523754504417354e+01
6.306122448979591295e-03,2.955109548507294193e+01
6.714285714285713434e-03,2.849578915862900175e+01
7.122448979591836440e-03,2.759976912384793479e+01
7.530612244897958579e-03,2.684020342502519441e+01
7.938775510204080718e-03,2.619929356378237628e+01
8.346938775510202857e-03,2.566309186889352745e+01
8.755102040816326731e-03,2.522065814093949854e+01
9.163265306122448869e-03,2.486345158560629542e+01
9.571428571428571008e-03,2.458488997748245453e+01
9.979591836734693147e-03,2.438003083198279697e+01
1.038775510204081529e-02,2.424534429567786020e+01
1.079591836734693742e-02,2.417855754321662687e+01
1.120408163265306130e-02,2.417855754321662687e+01
1.161224489795918344e-02,2.424534429567786020e+01
1.202040816326530558e-02,2.438003083198279697e+01
1.242857142857142771e-02,2.458488997748245453e+01
1.283673469387754985e-02,2.486345158560629542e+01
1.324489795918367373e-02,2.522065814093950209e+01
1.365306122448979587e-02,2.566309186889352745e+01
1.406122448979591801e-02,2.619929356378237628e+01
1.446938775510204014e-02,2.684020342502519441e+01
1.487755102040816228e-02,2.759976912384793479e+01
1.528571428571428616e-02,2.849578915862900530e+01
1.569387755102040830e-02,2.955109548507294193e+01
1.610204081632653217e-02,3.079523754504417354e+01
1.651020408163265257e-02,3.226692672241427573e+01
1.691836734693877298e-02,3.401766709907672492e+01
1.732653061224490032e-02,3.611729628105254619e+01
1.773469387755102072e-02,3.866271444523769674e+01
1.814285714285714113e-02,4.179216205271078621e+01
1.855102040816326847e-02,4.570964165223843167e+01
1.895918367346938888e-02,5.072901409654978266e+01
1.936734693877550928e-02,5.735912025108863332e+01
1.977551020408162968e-02,6.648262050405237744e+01
2.018367346938775703e-02,7.977597232772316715e+01
2.059183673469387743e-02,1.008598104057470124e+02
2.099999999999999784e-02,1.392665924963511941e+02
