"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.14073437,158.88965,16.674273,1,0,0,-0.011,0.00105
0.40288675,114.35075,18.366838,1,0.00021999981,0,-0.01078,0.00105
0.67766899,92.496887,18.683903,1,0.00043999963,0,-0.01056,0.00105
0.91276783,80.508736,18.353836,1,0.00066000037,0,-0.01034,0.00105
1.1016415,72.746521,17.188284,1,0.00088000018,0,-0.01012,0.00105
1.2690345,67.243797,15.858843,1,0.0011,0,-0.0098999999,0.00105
1.3971301,63.086979,14.531634,1,0.0013199998,0,-0.0096800001,0.00105
1.5307788,59.776909,13.196174,1,0.0015399996,0,-0.0094600003,0.00105
1.6338758,56.929863,11.855612,1,0.0017600004,0,-0.0092399996,0.00105
1.7171533,54.652332,10.73204,1,0.0019800002,0,-0.0090199998,0.00105
1.7956738,52.541611,9.7012987,1,0.0022,0,-0.0088,0.00105
1.8619313,50.735249,8.729496,1,0.0024199998,0,-0.0085800001,0.00105
1.9156203,49.136864,7.9101253,1,0.0026399996,0,-0.0083600003,0.00105
1.9578749,47.713181,7.0976291,1,0.0028600004,0,-0.0081399996,0.00105
1.9909085,46.323208,6.4163823,1,0.0030800002,0,-0.0079199998,0.00105
2.0210915,45.154037,5.8929152,1,0.0033,0,-0.0077,0.00105
2.0353856,44.105362,5.3211675,1,0.0035199998,0,-0.0074800001,0.00105
2.0437748,43.016075,4.9066753,1,0.0037400001,0,-0.0072599999,0.00105
2.0400648,42.187263,4.3218718,1,0.0039599999,0,-0.0070400001,0.00105
2.033107,41.32439,3.9848053,1,0.0041800002,0,-0.0068199998,0.00105
2.0192368,40.580441,3.6827404,1,0.0044,0,-0.0066,0.00105
2.0001194,39.916695,3.3372509,1,0.0046199998,0,-0.0063800002,0.00105
1.9738764,39.254436,3.0856917,1,0.0048400001,0,-0.0061599999,0.00105
1.9443159,38.623344,2.8287833,1,0.0050599999,0,-0.0059400001,0.00105
1.9024887,38.129837,2.542093,1,0.0052800002,0,-0.0057199998,0.00105
1.8596686,37.64114,2.3403454,1,0.0055,0,-0.0055,0.00105
1.8172834,37.143612,2.1930621,1,0.0057199998,0,-0.0052800002,0.00105
1.767107,36.713089,2.0076246,1,0.0059400001,0,-0.0050599999,0.00105
1.7133641,36.317535,1.835072,1,0.0061599999,0,-0.0048400001,0.00105
1.6592791,35.921253,1.7079298,1,0.0063800002,0,-0.0046199998,0.00105
1.590958,35.628216,1.5610428,1,0.0066,0,-0.0044,0.00105
1.5226368,35.335178,1.4141557,1,0.0068199998,0,-0.0041800002,0.00105
1.4598755,34.993557,1.3024641,1,0.0070400001,0,-0.0039599999,0.00105
1.3883868,34.743393,1.2122066,1,0.0072599999,0,-0.0037400001,0.00105
1.3154231,34.508751,1.135317,1,0.0074800001,0,-0.00352,0.00105
