# position,Analytical
7.999999999999986289e-04,1.724409458976047915e+02
1.216326530612243592e-03,1.156894493708139890e+02
1.632653061224488555e-03,8.795041157638428331e+01
2.048979591836733519e-03,7.154239894206439487e+01
2.465306122448978482e-03,6.072797228203638298e+01
2.881632653061223445e-03,5.308561164958612721e+01
3.297959183673468408e-03,4.741677007383145792e+01
3.714285714285713372e-03,4.306049389385373871e+01
4.130612244897958335e-03,3.962252456733518358e+01
4.546938775510203298e-03,3.685322729561153920e+01
4.963265306122447394e-03,3.458696014221475679e+01
5.379591836734692357e-03,3.270960001953884699e+01
5.795918367346937321e-03,3.114006838373415320e+01
6.212244897959182284e-03,2.981928976637427553e+01
6.628571428571427247e-03,2.870331601692596379e+01
7.044897959183672211e-03,2.775889388634633193e+01
7.461224489795917174e-03,2.696052261877791523e+01
7.877551020408161270e-03,2.628845151194449414e+01
8.293877551020407968e-03,2.572728856263789510e+01
8.710204081632651196e-03,2.526501740661648299e+01
9.126530612244896160e-03,2.489229417998652849e+01
9.542857142857141123e-03,2.460194124573305885e+01
9.959183673469386086e-03,2.438858314899457724e+01
1.037551020408163105e-02,2.424838852039430037e+01
1.079183673469387601e-02,2.417889389193563687e+01
1.120816326530612098e-02,2.417889389193564043e+01
1.162448979591836594e-02,2.424838852039430037e+01
1.204081632653061090e-02,2.438858314899456659e+01
1.245714285714285587e-02,2.460194124573305530e+01
1.287346938775510083e-02,2.489229417998652849e+01
1.328979591836734579e-02,2.526501740661648299e+01
1.370612244897959076e-02,2.572728856263789510e+01
1.412244897959183572e-02,2.628845151194449059e+01
1.453877551020408068e-02,2.696052261877791523e+01
1.495510204081632565e-02,2.775889388634632837e+01
1.537142857142857061e-02,2.870331601692596024e+01
1.578775510204081384e-02,2.981928976637427553e+01
1.620408163265306054e-02,3.114006838373415320e+01
1.662040816326530376e-02,3.270960001953883278e+01
1.703673469387755046e-02,3.458696014221475679e+01
1.745306122448979369e-02,3.685322729561153210e+01
1.786938775510204039e-02,3.962252456733518358e+01
1.828571428571428362e-02,4.306049389385372450e+01
1.870204081632653031e-02,4.741677007383145792e+01
1.911836734693877354e-02,5.308561164958609169e+01
1.953469387755102024e-02,6.072797228203638298e+01
1.995102040816326347e-02,7.154239894206433803e+01
2.036734693877551017e-02,8.795041157638428331e+01
2.078367346938775340e-02,1.156894493708138327e+02
2.120000000000000009e-02,1.724409458976047915e+02
